Start=,20170615,End=,20170710
Start market value=1057352.37718,End market value=,1057352.37718
Return=,0.0
Stock,Period P&L,% of start portfolio,start stock value,start stock price (adj),end stock value,end stock price(adj)
1055,-,-,-,6.25,-,6.25,
1088,-,-,-,16.92,-,16.92,
2196,-,-,53463.3,28.05,53463.3,28.05,
175,-,-,-,17.24,-,17.24,
285,-,-,-,17.86,-,17.86,
6818,-,-,-,3.58,-,3.58,
3968,-,-,-,22.95,-,22.95,
880,-,-,-,7.85,-,7.85,
1336,-,-,-,40.65097,-,40.65097,
2238,-,-,-,15.48,-,15.48,
200,-,-,-,19.42,-,19.42,
2007,-,-,-,9.17,-,9.17,
2333,-,-,-,10.44,-,10.44,
1980,-,-,-,6.02,-,6.02,
1918,-,-,-,14.8,-,14.8,
316,-,-,-,72.0,-,72.0,
998,-,-,-,4.75,-,4.75,
3993,-,-,-,3.36,-,3.36,
604,-,-,-,3.46,-,3.46,
607,-,-,55075.58,3.17,55075.58,3.17,
